Japanese,Pronunciation + Vietnamese Translation,Tags
私（わたし）,watashi - Tôi,person
⼈(ひと),hito - Người,person
ベトナム⼈（べとなむじん）,Betonamujin - Người Việt Nam,person
⼀⼈（ひとり）,hitori - 1 người,number
三⼈（さんにん）,sannin - 3 người,number
才（さい）,sai - Tuổi,age
学（がく）,gaku - Học,action
⽣（せい）,sei - Sinh,noun
校（こう）,kou - Trường,place
⽇（にち／か）,nichi/ka - Ngày,date
五⽇（いつか）,itsuka - Ngày 5,date
⼗⼀⽇（じゅういちにち）,juuichinichi - Ngày 11,date
⽇本（にほん）,nihon - Nhật Bản,place
本（ほん）,hon - Sách,object
語（ご）,go - Tiếng / Ngôn ngữ,language
⽇本語 (にほんご),nihongo - Tiếng Nhật,language
しゅみ,shumi - Sở thích,interest
スポーツ,Supootsu - Thể thao,sport
サッカー,Sakkā - Bóng đá,sport
テニス,Tenis - Tennis,sport
すいえい,Suiei - Bơi lội,sport
えいが,Eiga - Phim / Điện ảnh,entertainment
おんがく,Ongaku - Âm nhạc,entertainment
どくしょ,Dokusho - Đọc sách,activity
りょこう,Ryokou - Du lịch,activity
りょうり,Ryourí - Nấu ăn / Món ăn,activity
なん,Nan - Cái gì,question
あ（っ）,A! / Á! - expression,expression
たんじょうび,Tanjoubi - Sinh nhật,event
ブラジル,Burajiru - Brazil,country
～がつ,~gatsu - Tháng,month
～にち／か,~nichi/ka - Ngày,date
～さい,~sai - Tuổi,age
いつ,itsu - Bao giờ - Khi nào,question
わたし,Watashi - Tôi,personal pronoun
（お）なまえ,(o)namae - Tên (bạn),personal
（お）くに,(o)kuni - Đất nước,country
にほん,Nihon - Nhật Bản,country
アメリカ,Amerika - Mỹ,country
イタリア,Itaria - Ý,country
オーストラリア,Ōsutoraria - Úc,country
かんこく,Kankoku - Hàn Quốc,country
タイ,Tai - Thái Lan,country
ちゅうごく,Chuugoku - Trung Quốc,country
ロシア,Roshia - Nga,country
こうこう,Koukou - Trường cấp 3,school
だいがく,Daigaku - Trường đại học,school
にほんごがっこう,Nihongo gakkou - Trường tiếng Nhật,school
（お）しごと,(o)shigoto - Công việc (của bạn),occupation
がくせい,Gakusei - Học sinh - sinh viên,person
せんせい,Sensei - Thầy - cô giáo,occupation
きょうし,Kyoushi - Giáo viên,occupation
かいしゃいん,Kaishain - Nhân viên văn phòng,occupation
しゃいん,Shain - Nhân viên,occupation
～さん,~san - Anh - Chị - Ông - Bà - Bạn ~,honorific
～じん,~jin - Người nước ~,nationality
どちら,Dochira - Ở đâu - Phía nào,question
はじめまして,Hajimemashite - Rất vui được gặp bạn (lần đầu gặp mặt),greeting
よろしくおねがいします,Yoroshiku onegaishimasu - Rất mong nhận được sự giúp đỡ của bạn,expression
こちらこそ,Kochira koso - Tôi cũng mong được bạn giúp đỡ,expression
あのう,"Anou - ờ (kéo sự chú ý của người khác)",expression
